UserNmaxLen,UserNminLen,UserNtextLen,PassWmaxLen,PassWminLen,PassWtextLen,formpy,viewspy,novalidateM,codeCM,codeCMAction1,codeCMAction2,popUpUserN,popUpPassW,UPError,ErrorMsg
8,3,2,7,3,4,0,0,0,0,0,0,1,0,0,0
8,3,4,7,3,4,0,0,0,0,0,0,0,0,0,0
8,3,4,7,3,2,0,0,0,0,0,0,0,1,0,0
8,3,2,7,3,2,0,0,0,0,0,0,1,0,0,0
8,3,2,7,3,4,0,1,0,0,0,0,1,0,0,0
8,3,4,7,3,4,0,1,0,0,0,0,0,0,1,0
8,3,2,7,3,2,0,1,0,0,0,0,1,0,0,0
8,3,4,7,3,2,0,1,0,0,0,0,0,1,0,0
8,3,2,7,3,4,1,0,0,0,0,0,1,0,0,0
8,3,4,7,3,4,1,0,0,0,0,0,0,0,0,0
8,3,2,7,3,2,1,0,0,0,0,0,1,0,0,0
8,3,4,7,3,2,1,0,0,0,0,0,0,1,0,0
8,3,2,7,3,4,1,1,0,0,0,0,1,0,0,0
8,3,4,7,3,4,1,1,0,0,0,0,0,0,1,0
8,3,2,7,3,2,1,1,0,0,0,0,1,0,0,0
8,3,4,7,3,2,1,1,0,0,0,0,0,1,0,0
8,3,2,7,3,4,0,0,0,1,0,0,1,0,0,0
8,3,4,7,3,4,0,0,0,1,0,0,0,0,0,0
8,3,2,7,3,2,0,0,0,1,0,0,1,0,0,0
8,3,4,7,3,2,0,0,0,1,0,0,0,1,0,0
8,3,2,7,3,4,0,0,1,0,0,0,1,0,0,0
8,3,4,7,3,4,0,0,1,0,0,0,0,0,0,0
8,3,2,7,3,2,0,0,1,0,0,0,1,0,0,0
8,3,4,7,3,2,0,0,1,0,0,0,0,1,0,0
8,3,2,7,3,4,0,0,0,0,0,1,1,0,0,0
8,3,4,7,3,4,0,0,0,0,0,1,0,0,0,0
8,3,2,7,3,2,0,0,0,0,0,1,1,0,0,0
8,3,4,7,3,2,0,0,0,0,0,1,0,1,0,0
